iter	Passed	Remaining
598	300940	201464
599	301374	200916
600	301903	200431
601	302296	199857
602	302801	199356
603	303211	198794
604	303609	198224
605	304011	197657
606	304521	197161
607	304934	196602
608	305478	196128
609	305926	195592
610	306401	195074
611	306943	194597
612	307438	194092
613	307944	193593
614	308410	193069
615	308917	192571
616	309396	192056
617	309801	191495
618	310269	190973
619	310726	190445
620	311212	189934
621	311736	189447
622	312202	188924
623	312649	188391
624	313181	187908
625	313641	187383
626	314122	186870
627	314625	186370
628	315087	185846
629	315634	185372
630	316175	184894
631	316667	184388
632	317216	183915
633	317661	183381
634	318093	182840
635	318529	182302
636	319075	181828
637	319600	181340
638	320131	180856
639	320568	180319
640	321050	179808
641	321584	179326
642	322140	178855
643	322564	178311
644	323086	177822
645	323575	177315
646	324158	176859
647	324647	176351
648	325216	175887
649	325718	175386
650	326139	174842
651	326631	174336
652	327211	173878
653	327792	173419
654	328296	172919
655	328796	172417
656	329402	171970
657	329950	171494
658	330505	171020
659	331026	170528
660	331522	170024
661	332024	169523
662	332517	169017
663	333048	168530
664	333563	168035
665	334200	167602
666	334761	167129
667	335253	166623
668	335754	166120
669	336232	165607
670	336767	165121
671	337360	164663
672	337905	164182
673	338303	163630
674	338827	163139
675	339345	162644
676	339848	162143
677	340395	161662
678	340933	161177
679	341340	160630
680	341805	160111
681	342278	159596
682	342894	159147
683	343431	158661
684	343980	158180
685	344394	157638
686	344938	157155
687	345368	156620
688	345909	156136
689	346358	155610
690	346897	155124
691	347402	154624
692	347987	154158
693	348426	153629
694	348976	153147
695	349506	152658
696	350145	152215
697	350633	151706
698	351134	151203
699	351667	150714
700	352170	150212
701	352628	149691
702	353086	149170
703	353622	148682
704	354174	148200
705	354705	147710
706	355157	147186
707	355581	146652
708	356144	146175
709	356562	145638
710	356983	145102
711	357638	144662
712	358184	144178
713	358695	143679
714	359227	143188
715	359771	142702
716	360229	142182
717	360803	141708
718	361252	141184
719	361789	140695
720	362292	140193
721	362820	139700
722	363250	139170
723	363779	138678
724	364374	138211
725	364810	137683
726	365242	137154
727	365670	136624
728	366093	136092
729	366511	135558
730	366942	135030
731	367359	134497
732	367799	133973
733	368255	133454
734	368801	132969
735	369364	132489
736	369894	131997
737	370403	131498
738	370993	131027
739	371415	130497
740	371969	130013
741	372537	129534
742	373058	129038
743	373502	128517
744	374035	128025
745	374430	127487
746	375001	127008
747	375550	126522
748	376094	126034
749	376615	125538
750	377130	125040
751	377608	124530
752	378132	124035
753	378652	123539
754	379134	123030
755	379668	122538
756	380214	122050
757	380747	121557
758	381172	121031
759	381769	120558
760	382250	120049
761	382725	119538
762	383143	119010
763	383640	118506
764	384164	118011
765	384710	117522
766	385215	117021
767	385714	116517
768	386234	116021
769	386744	115521
770	387260	115023
771	387745	114515
772	388255	114015
773	388796	113524
774	389293	113020
775	389843	112532
776	390358	112033
777	390863	111531
778	391388	111035
779	391903	110536
780	392443	110045
781	392855	109517
782	393444	109038
783	393929	108531
784	394421	108026
785	394909	107519
786	395403	107015
787	395927	106518
788	396414	106011
789	396902	105505
790	397386	104998
791	397893	104497
792	398357	103984
793	398856	103481
794	399412	102993
795	399942	102497
796	400528	102016
797	401125	101538
798	401818	101083
799	402411	100602
800	403002	100121
801	403485	99613
802	403992	99111
803	404568	98626
804	405073	98123
805	405611	97628
806	406023	97103
807	406569	96610
808	407151	96125
809	407707	95635
810	408267	95144
811	408753	94637
812	409388	94164
813	409874	93656
814	410524	93186
815	411159	92712
816	411843	92248
817	412528	91785
818	413227	91323
819	413730	90818
820	414300	90328
821	414941	89853
822	415444	89348
823	415995	88853
824	416616	88373
825	417146	87873
826	417573	87352
827	418078	86847
828	418490	86323
829	419087	85837
830	419616	85337
831	420133	84834
832	420673	84336
833	421190	83834
834	421674	83324
835	422172	82818
836	422698	82317
837	423230	81817
838	423729	81311
839	424173	80794
840	424726	80299
841	425195	79787
842	425786	79298
843	426426	78818
844	427040	78332
845	427574	77832
846	428149	77339
847	428632	76830
848	429073	76313
849	429572	75806
850	429981	75284
851	430593	74797
852	431192	74308
853	431756	73813
854	432182	73294
855	432754	72799
856	433336	72306
857	433839	71801
858	434285	71285
859	434828	70786
860	435304	70275
861	435866	69779
862	436343	69268
863	436799	68755
864	437216	68236
865	437681	67724
866	438138	67211
867	438606	66700
868	439059	66187
869	439591	65686
870	440008	65167
871	440525	64664
872	440962	64149
873	441490	63647
874	441972	63138
875	442585	62649
876	443208	62160
877	443674	61649
878	444223	61150
879	444710	60642
880	445185	60132
881	445798	59641
882	446392	59148
883	446897	58642
884	447417	58138
885	447940	57635
886	448436	57128
887	448894	56617
888	449471	56120
889	449995	55617
890	450495	55111
891	451035	54609
892	451609	54112
893	452155	53611
894	452685	53108
895	453186	52601
896	453724	52099
897	454212	51592
898	454769	51092
899	455204	50578
900	455708	50072
901	456174	49562
902	456699	49058
903	457243	48556
904	457771	48053
905	458274	47547
906	458845	47048
907	459352	46542
908	459793	46029
909	460223	45516
910	460660	45004
911	461085	44490
912	461664	43992
913	462070	43477
914	462483	42962
915	462921	42451
916	463339	41938
917	463758	41425
918	464292	40922
919	464788	40416
920	465292	39911
921	465780	39404
922	466274	38898
923	466815	38396
924	467323	37891
925	467742	37378
926	468217	36871
927	468784	36371
928	469243	35862
929	469784	35360
930	470340	34858
931	470758	34347
932	471177	33835
933	471721	33333
934	472206	32827
935	472755	32325
936	473308	31823
937	473804	31317
938	474344	30814
939	474812	30307
940	475351	29804
941	475864	29299
942	476431	28798
943	476971	28294
944	477556	27794
945	478083	27290
946	478612	26786
947	479107	26280
948	479524	25770
949	479994	25262
950	480544	24759
951	480993	24251
952	481412	23742
953	481984	23240
954	482518	22736
955	482970	22228
956	483454	21722
957	483961	21217
958	484471	20712
959	485036	20209
960	485549	19704
961	485979	19196
962	486434	18689
963	486906	18183
964	487371	17676
965	487832	17170
966	488370	16666
967	488877	16161
968	489343	15654
969	489838	15149
970	490383	14645
971	490956	14142
972	491489	13638
973	492053	13134
974	492559	12629
975	493204	12127
976	493788	11624
977	494211	11117
978	494866	10615
979	495411	10110
980	495924	9605
981	496506	9100
982	497078	8596
983	497662	8092
984	498238	7587
985	498750	7081
986	499264	6575
987	499795	6070
988	500209	5563
989	500742	5058
990	501244	4552
991	501680	4045
992	502181	3540
993	502606	3033
994	503101	2528
995	503628	2022
996	504178	1517
997	504654	1011
998	505190	505
999	505690	0
