,roc_auc,pr_auc,brier,f1,precision,recall,threshold,baseline_pr_auc
XGBoost,0.8399135198286469,0.6752949547755217,0.12503842134655876,0.6066966195977749,0.5316671666416679,0.7063820247110403,0.32,0.23188539741219963
LightGBM,0.8511006578451792,0.6822761202720292,0.11950142275971959,0.6120119889332923,0.4980923192394296,0.7934934236747708,0.28,0.23188539741219963
CatBoost,0.8204140931707038,0.6282903657913887,0.13771967007556613,0.45977825666760713,0.302874767685555,0.953990633718613,0.15000000000000002,0.23188539741219963
HistGB,0.8314949448514646,0.6541594932736465,0.13055905857964975,0.5741941029828935,0.4383745045021395,0.8319549621363093,0.27,0.23188539741219963
