Comparison,Statistic,p_value
XGBoost vs LightGBM,0.9401932619482893,0.3322281445870194
XGBoost vs CatBoost,118.3849005072181,1.4280496799902649e-27
XGBoost vs HistGradientBoosting,776.0218176346675,8.81959469502252e-171
