model,roc_auc_mean,roc_auc_lo,roc_auc_hi,pr_auc_mean,pr_auc_lo,pr_auc_hi,brier_mean,brier_lo,brier_hi,f1_mean,f1_lo,f1_hi,precision_mean,precision_lo,precision_hi,recall_mean,recall_lo,recall_hi
XGBoost,0.8339449881280965,0.745498195697724,0.904973553609459,0.6715873854052012,0.5548326672663851,0.7581656563780607,0.12901544178683363,0.09316736081714502,0.17905149689287095,0.5962749142428445,0.48020515346684184,0.6803411232967114,0.5251900581023886,0.40873025357594445,0.6449095745997347,0.7029187005842664,0.5162222034255713,0.8637174253739353
LightGBM,0.8450145511121205,0.7619284200606031,0.9152592255089084,0.6798101674058692,0.5681718585614478,0.76813267528653,0.12387968457044295,0.0843183945453791,0.17399834008437934,0.6044957156345735,0.52883723357892,0.6642171880958727,0.4918901342237757,0.3921250378825278,0.5907541907069986,0.7943228784499757,0.6943300267060922,0.8961423493044528
CatBoost,0.8171158088839546,0.7423101167584053,0.8956180844450813,0.6298640374179909,0.5095696842149164,0.7313030036300114,0.14084130352601537,0.10815056559048551,0.17983650640251322,0.4618169004312667,0.373741617269667,0.5695713309145053,0.3065005441017013,0.23118914984313782,0.4083218817728525,0.9554869876722162,0.9219795287863761,0.9870722724181025
HistGB,0.8266548083957203,0.7596078312938288,0.8711366831541348,0.6533628064465064,0.5658312755380671,0.7142328703654338,0.13361652190808962,0.10533159799745287,0.17203193766171676,0.5691371483232766,0.4670256906238629,0.6523485274455487,0.43589898712198977,0.3283463487431464,0.5399759179343883,0.830760585916405,0.7817608575325238,0.8798776502538844
