iter	Passed	Remaining
399	67529	158187
400	67703	158032
401	67871	157859
402	68035	157679
403	68202	157507
404	68367	157329
405	68532	157153
406	68707	156997
407	68885	156849
408	69053	156678
409	69218	156500
410	69384	156327
411	69547	156145
412	69715	155972
413	69882	155799
414	70059	155649
415	70227	155480
416	70392	155303
417	70555	155121
418	70721	154946
419	70885	154767
420	71050	154589
421	71230	154445
422	71398	154275
423	71561	154093
424	71729	153923
425	71894	153746
426	72061	153572
427	72226	153397
428	72398	153234
429	72573	153080
430	72743	152913
431	72909	152738
432	73073	152559
433	73260	152429
434	73440	152284
435	73613	152123
436	73792	151975
437	73958	151800
438	74124	151625
439	74288	151447
440	74454	151271
441	74623	151104
442	74796	150944
443	74974	150792
444	75140	150619
445	75306	150443
446	75472	150269
447	75636	150091
448	75804	149921
449	75968	149742
450	76150	149598
451	76318	149428
452	76486	149258
453	76651	149081
454	76820	148912
455	76986	148739
456	77156	148572
457	77333	148418
458	77507	148259
459	77670	148079
460	77838	147909
461	78002	147732
462	78166	147553
463	78334	147383
464	78506	147220
465	78680	147062
466	78848	146890
467	79011	146710
468	79172	146528
469	79337	146352
470	79501	146174
471	79664	145996
472	79847	145852
473	80011	145675
474	80179	145504
475	80346	145332
476	80512	145158
477	80676	144981
478	80843	144810
479	81021	144657
480	81190	144489
481	81356	144315
482	81520	144137
483	81684	143960
484	81852	143791
485	82017	143615
486	82192	143457
487	82364	143293
488	82528	143117
489	82694	142943
490	82861	142772
491	83027	142597
492	83192	142423
493	83360	142252
494	83536	142097
495	83703	141925
496	83874	141759
497	84038	141583
498	84205	141410
499	84368	141232
500	84531	141054
501	84709	140901
502	84877	140731
503	85044	140560
504	85209	140385
505	85372	140206
506	85539	140034
507	85702	139857
508	85879	139701
509	86052	139540
510	86222	139373
511	86387	139198
512	86553	139026
513	86719	138853
514	86889	138685
515	87058	138517
516	87237	138364
517	87401	138189
518	87565	138012
519	87729	137835
520	87893	137659
521	88003	137400
522	88168	137226
523	88282	136972
524	88462	136822
525	88625	136645
526	88793	136475
527	88958	136301
528	89123	136128
529	89295	135964
530	89459	135789
531	89642	135643
532	89809	135472
533	89977	135303
534	90143	135130
535	90309	134958
536	90472	134782
537	90638	134609
538	90818	134458
539	90991	134297
540	91158	134125
541	91322	133951
542	91487	133777
543	91652	133603
544	91819	133432
545	91996	133277
546	92168	133114
547	92332	132939
548	92497	132765
549	92663	132593
550	92827	132418
551	92993	132246
552	93163	132079
553	93338	131921
554	93508	131753
555	93671	131577
556	93834	131402
557	94001	131232
558	94166	131058
559	94332	130886
560	94512	130733
561	94749	130659
562	94914	130486
563	95083	130318
564	95248	130145
565	95412	129969
566	95581	129801
567	95760	129646
568	95925	129474
569	96090	129300
570	96255	129127
571	96421	128955
572	96586	128781
573	96752	128609
574	96932	128456
575	97101	128288
576	97268	128117
577	97433	127944
578	97596	127769
579	97760	127594
580	97923	127417
581	98096	127256
582	98268	127091
583	98436	126922
584	98600	126748
585	98763	126572
586	98927	126397
587	99095	126229
588	99262	126058
589	99439	125900
590	99605	125729
591	99767	125551
592	99932	125378
593	100096	125205
594	100260	125030
595	100423	124855
596	100604	124702
597	100773	124533
598	100938	124361
599	101107	124193
600	101271	124019
601	101435	123846
602	101603	123676
603	101782	123521
604	101950	123351
605	102116	123179
606	102279	123004
607	102446	122834
608	102609	122660
609	102774	122486
610	102947	122323
611	103122	122163
612	103288	121992
613	103453	121819
614	103618	121646
615	103784	121474
616	103947	121300
617	104114	121130
618	104292	120972
619	104459	120801
620	104628	120634
621	104793	120461
622	104958	120289
623	105121	120115
624	105287	119942
625	105469	119790
626	105592	119570
627	105758	119398
628	105923	119226
629	106090	119056
630	106258	118888
631	106426	118719
632	106601	118558
633	106776	118396
634	106940	118223
635	107106	118053
636	107274	117884
637	107441	117713
638	107606	117541
639	107771	117370
640	107950	117213
641	108117	117042
642	108281	116870
643	108450	116701
644	108613	116527
645	108778	116355
646	108942	116183
647	109120	116024
648	109293	115861
649	109461	115691
650	109623	115517
651	109790	115347
