iter	Logloss
0	0.6520634147
1	0.6225953792
2	0.5911774358
3	0.56389672
4	0.5439859694
5	0.5217938817
6	0.5068181044
7	0.486098565
8	0.4706427345
9	0.4605190021
10	0.4461097522
11	0.4369760811
12	0.4238847243
13	0.4151787572
14	0.4079455674
15	0.401167549
16	0.3920458163
17	0.3851006292
18	0.3786619943
19	0.3727891837
20	0.3660427141
21	0.361608285
22	0.3567294388
23	0.3523339045
24	0.348865928
25	0.3436285512
26	0.3412071466
27	0.3380770659
28	0.3349487069
29	0.3321341722
30	0.3288266645
31	0.326610964
32	0.3242605879
33	0.3217185807
34	0.3194915268
35	0.3172326935
36	0.3152631623
37	0.3134045393
38	0.3107478131
39	0.3083257832
40	0.3057643119
41	0.3040631735
42	0.3019996912
43	0.3000640763
44	0.298768076
45	0.297669604
46	0.2962730701
47	0.2949385648
48	0.2939321267
49	0.2931245347
50	0.2916583985
51	0.2906809536
52	0.2894070708
53	0.2882791768
54	0.2866416256
55	0.2858661667
56	0.2850521857
57	0.2839349423
58	0.2827653431
59	0.2819321959
60	0.2812517622
61	0.2801424529
62	0.2793037866
63	0.2783849693
64	0.2771635868
65	0.2764076248
66	0.2752775986
67	0.2747649915
68	0.274242127
69	0.2735769708
70	0.273191671
71	0.2728213538
72	0.2721671603
73	0.271479485
74	0.270879526
75	0.2701455764
76	0.2697233654
77	0.2689346728
78	0.2680658194
79	0.2675807855
80	0.2671133953
81	0.2667032469
82	0.2663162255
83	0.2658565335
84	0.2652232223
85	0.2648359879
86	0.2644726785
87	0.2640543891
88	0.2633133134
89	0.2629066594
90	0.2624100532
91	0.2619400518
92	0.2615041907
93	0.2611245449
94	0.2608020019
95	0.2604606718
96	0.2599585637
97	0.2594595773
98	0.2585207773
99	0.2582872131
100	0.257955831
101	0.257563279
102	0.2570274519
103	0.256305279
104	0.2558687757
105	0.2555418722
106	0.2552559754
107	0.2547333851
108	0.2542840706
109	0.2540594038
110	0.2537749491
111	0.2535061024
112	0.2530296669
113	0.2525699536
114	0.2522939868
115	0.252058663
116	0.2516781502
117	0.2511365085
118	0.2508615564
119	0.2506977822
120	0.2503605436
121	0.249805958
122	0.2495655546
123	0.2492579939
124	0.2490331772
125	0.2487322967
126	0.2485158305
127	0.2480916768
128	0.2478564001
129	0.2474754882
130	0.2470673114
131	0.2469212755
132	0.2465291999
133	0.2462250461
134	0.2459979659
135	0.2458643312
136	0.2455709142
137	0.2454269689
138	0.2451816097
139	0.2450487957
140	0.2448223373
141	0.2446332408
142	0.2443372145
143	0.2439841422
144	0.243773669
145	0.2435290918
146	0.2431902437
147	0.2428648127
148	0.2427451288
149	0.2423617934
150	0.2421265451
151	0.2419309985
152	0.2416852624
153	0.2415409215
154	0.2412344852
155	0.2409438378
156	0.2406290603
157	0.2403989169
158	0.2402721966
159	0.2399921956
160	0.239540784
161	0.2392620985
162	0.2390877893
163	0.2389791961
164	0.2388174793
165	0.238520581
166	0.2383091195
167	0.2378502548
168	0.2377780471
169	0.2373214162
170	0.2371424525
171	0.2369728842
172	0.2366851942
173	0.2364786043
174	0.2363015521
175	0.2360828591
176	0.2358042474
177	0.2355973883
178	0.2353842367
179	0.2351957155
180	0.2351236036
181	0.234899933
182	0.2346865571
183	0.2345221486
184	0.2343140444
185	0.2341353786
186	0.2339943663
187	0.2338778945
188	0.2336994294
189	0.2335195349
190	0.2333211561
191	0.2331850791
192	0.232991756
193	0.2328382257
194	0.232623108
195	0.2325668077
196	0.2323827401
197	0.2322579123
198	0.2320964891
199	0.2319564201
200	0.2317408978
201	0.2316039962
202	0.2314796563
203	0.2312879355
204	0.2311739507
205	0.2310832661
206	0.2308783182
207	0.2307141775
208	0.230479203
209	0.2302416762
210	0.2301578896
211	0.2299448712
212	0.2297523653
213	0.2296458066
214	0.2295368188
215	0.2294148108
216	0.2293349328
217	0.2292619731
218	0.2291567881
219	0.2290133772
220	0.2289028898
221	0.2287769319
222	0.2287178051
223	0.2286288751
224	0.2285415425
225	0.2284636407
226	0.2283510836
227	0.2282388699
228	0.2281204443
229	0.2280743806
230	0.2279818187
231	0.2278268761
232	0.2277367348
233	0.2276396726
234	0.2275452
235	0.2274093649
236	0.2273594918
237	0.2272406995
238	0.2270607736
239	0.2269988149
240	0.2268961149
241	0.2268175392
242	0.2266665367
243	0.2264973417
244	0.2263729715
245	0.226249734
246	0.2261742488
247	0.2260820178
248	0.2258524782
249	0.2257867392
250	0.2256545037
251	0.2255314578
252	0.2254335652
253	0.2252412983
254	0.2251701928
255	0.2250964248
256	0.225047339
257	0.2250252527
258	0.2249322763
259	0.2248555575
260	0.2248189157
261	0.2247040825
262	0.2245593498
263	0.2244310152
264	0.2243226876
265	0.2242145497
266	0.2241316799
267	0.2241053851
268	0.2240186993
269	0.2239406497
270	0.22384898
271	0.2237661327
272	0.2236537331
273	0.2234963289
274	0.223381624
275	0.2233195896
276	0.2232357393
277	0.2229923138
278	0.2229308584
279	0.2227771646
280	0.222672667
281	0.2226395815
282	0.2225324413
283	0.2224303231
284	0.2223954692
285	0.222266965
286	0.2221389412
287	0.2220636772
288	0.2220037784
289	0.2219210007
290	0.2218666765
291	0.2218021838
292	0.2216622251
293	0.2215346749
294	0.2214891125
295	0.2214084557
296	0.2213470606
297	0.2212309721
298	0.2211874893
299	0.2210886551
300	0.2209693318
301	0.2209283914
302	0.2208771195
303	0.2208590297
304	0.2207544224
305	0.2206592053
306	0.2205476476
307	0.2205396351
308	0.2205115324
309	0.2204821333
310	0.2203734027
311	0.220319923
312	0.2202588483
313	0.2201920014
314	0.2201227745
315	0.2200010816
316	0.2199150524
317	0.2198296679
318	0.219766389
319	0.2195668277
320	0.2194940506
321	0.2194454069
322	0.2193817306
323	0.2193229866
324	0.2192779176
325	0.2192048201
326	0.2191567343
327	0.219086648
328	0.2189831227
329	0.2188948383
330	0.2188041445
331	0.2186783788
332	0.2186185583
333	0.2185861172
334	0.218540119
335	0.2185280309
336	0.218442473
337	0.2183791182
338	0.2183097687
339	0.2182923171
340	0.2182627642
341	0.2182313833
342	0.2181778429
343	0.2181060901
344	0.2180174969
345	0.2179152291
346	0.2178760128
347	0.2177822603
348	0.2177525496
349	0.2177214455
350	0.2176293927
351	0.2175987519
352	0.217534427
353	0.217482707
354	0.2173958492
355	0.2173744144
356	0.2173524063
357	0.2172667607
358	0.2172332414
359	0.2172024412
360	0.2171234747
361	0.2170655089
362	0.217004289
363	0.2169564151
364	0.2169254642
365	0.2168253787
366	0.2167644312
367	0.2166844833
368	0.2166180891
369	0.2165654592
370	0.2165333166
371	0.2164393815
372	0.216379341
373	0.2163515126
374	0.2162541439
375	0.2161804319
376	0.2161141621
377	0.2160478245
378	0.2159867465
379	0.2159775213
380	0.215925018
381	0.2158837944
382	0.2158565801
383	0.2157999404
384	0.2157257998
385	0.2157157319
386	0.2156749191
387	0.2156120678
388	0.2155920388
389	0.2154962992
390	0.2154268153
391	0.2153851451
392	0.2153614378
393	0.2153062083
394	0.2152467007
395	0.2152147583
396	0.2151838063
397	0.2151277689
398	0.2150840123
399	0.2150136864
400	0.214976003
401	0.2149232619
402	0.2148732938
403	0.2148188718
404	0.2147682009
405	0.2147105953
406	0.2146529635
407	0.2146110751
408	0.2146051183
409	0.2145494292
410	0.2144867156
411	0.2144461965
412	0.2143706079
413	0.2143244345
414	0.2142898676
415	0.2142677668
416	0.2142434315
417	0.2142233164
418	0.2141369304
419	0.2140995571
420	0.2140479784
421	0.2139573084
422	0.2139165061
423	0.2138785607
424	0.2138551022
425	0.2138338502
426	0.2137795959
427	0.2137470004
428	0.2136534016
429	0.2136189618
430	0.2135731983
431	0.2135467305
432	0.2134987409
433	0.2134244218
434	0.2133893294
435	0.2133614086
436	0.213330678
437	0.2132552003
438	0.2131689596
439	0.2131307327
440	0.2130997515
441	0.2130540125
442	0.21300839
443	0.2129548771
444	0.2129035472
445	0.2128598648
446	0.2128207983
447	0.2127817377
448	0.2127225395
449	0.2126810695
450	0.2126260251
451	0.2125973422
452	0.212562919
453	0.2125230848
454	0.2124873397
455	0.2124357153
456	0.2123839551
457	0.2123401528
458	0.2123038614
459	0.212260935
460	0.2122361126
461	0.2122014644
462	0.2121574442
463	0.2121159824
464	0.2120700724
465	0.2120102636
466	0.2119811038
467	0.2119500211
468	0.2119075522
469	0.211863616
470	0.2118391391
471	0.2117924457
472	0.2117682869
473	0.2117310611
474	0.2117001244
475	0.2116499106
476	0.2116227983
477	0.2115684083
478	0.2115263453
479	0.2114982977
480	0.2114629179
481	0.2114373826
482	0.2113799468
483	0.2113441057
484	0.2113063532
485	0.2112637602
486	0.211248336
487	0.2112034174
488	0.2111429274
489	0.2110893209
490	0.2110657971
491	0.2110316892
492	0.2109863724
493	0.2109471792
494	0.21090077
495	0.2108551059
496	0.2108098803
497	0.2107678976
498	0.2107278987
499	0.2106737474
500	0.2106386448
501	0.2105802376
502	0.2105503256
503	0.2105090579
504	0.2104821178
505	0.2104305004
506	0.2104025867
507	0.2103672815
508	0.2103380982
509	0.2103124265
510	0.2102826202
511	0.2102556042
512	0.210226431
513	0.2101889994
514	0.2101555258
515	0.2101180167
516	0.2100685425
517	0.2100293342
518	0.210001587
519	0.2099731674
520	0.2099576561
521	0.2099203444
522	0.2098978477
523	0.2098718402
524	0.2098482253
525	0.2098044195
526	0.209787538
527	0.2097694784
528	0.2097521838
529	0.2097264223
530	0.2097001869
531	0.2096799187
532	0.2096537864
533	0.2096420054
534	0.2096059067
535	0.2095890848
536	0.2095707324
537	0.2095506101
538	0.2094678752
539	0.209443066
540	0.2094219845
541	0.2093856035
542	0.2093463414
543	0.2093320417
544	0.2092990713
545	0.2092804393
546	0.2092675202
547	0.2092407145
548	0.2092036344
549	0.2091767119
550	0.2091521588
551	0.2091380097
552	0.2091024165
553	0.2090357319
554	0.2090155119
555	0.2089866739
556	0.2089656226
557	0.208950755
558	0.2089346271
559	0.2089055099
560	0.2088989188
561	0.2088871342
562	0.2088584129
563	0.2088403062
564	0.2088304981
565	0.2087914631
566	0.2087735056
567	0.2087439057
568	0.2087193489
569	0.2086906523
570	0.2086875985
571	0.2086712668
572	0.2086404147
573	0.2086330837
574	0.2086029174
575	0.2085879044
576	0.2085743343
577	0.2085637598
578	0.2085595445
579	0.208554733
580	0.2085357594
581	0.2085196888
582	0.2085009472
583	0.2084865687
584	0.2084532452
585	0.2084278792
586	0.2083976802
587	0.2083857535
588	0.2083524598
589	0.2083469691
590	0.2083410776
591	0.2083187774
592	0.2083026926
593	0.2082715647
594	0.2082415619
595	0.2082396191
596	0.208236978
597	0.2082324823
598	0.2081858042
599	0.2081841596
600	0.2081825338
601	0.2081698382
602	0.2081504806
603	0.2081483489
604	0.2081300846
605	0.2081011393
606	0.2081004985
