feature,mean_abs_shap
antibiotic,3.3188561128216754
organism,0.7916856008977298
has_transplant,0.3879503072163824
age,0.32701964983860127
first_sysbp,0.2883994923433576
gender,0.2748753893736383
median_lactate,0.2706806529602543
median_plt,0.27018078742478907
median_sysbp,0.2470093166540746
first_heartrate,0.2380680250444157
median_na,0.2192949206025292
median_procalcitonin,0.21288953005758832
median_wbc,0.20225049901526984
median_cr,0.1977454654971961
median_hco3,0.1970093714447045
n_med_categories,0.19676675940888583
min_time_to_med,0.18099407333817563
median_heartrate,0.16244696853296087
median_hgb,0.14960991353920008
median_resprate,0.14884468213547325
median_temp,0.146979974050287
first_resprate,0.14697789511950562
min_time_to_class,0.13324441419213703
has_ckd,0.12989138352173596
median_diasbp,0.12553921278373154
median_bun,0.11962674605993197
first_temp,0.11471045328020414
has_dementia,0.09450946029967124
median_neutrophils,0.08927304156822552
first_diasbp,0.06912736085484651
